mapping_key,source_sequence,source_table_number,place_key,mapping_method,mapping_status,mapping_note
g001-t01,1,1,route-1-first-two-fields-east-house,vanilla_pool_match,verified,The pinned vanilla pool and levels match the uniquely labelled USUM Route 1 pool.
g001-t13,1,13,route-1-first-two-fields-east-house,vanilla_pool_match,verified,Duplicate raw instance of the pinned vanilla pool for the two fields east of the player's house.
g001-t14,1,14,route-1-grass-overlooking-bay,vanilla_pool_match,verified,The pinned vanilla level 2-4 pool uniquely matches the USUM grass overlooking the bay.
g001-t02,1,2,route-1-grass-near-iki-western-path,vanilla_pool_match,verified,The pinned vanilla three-species pool matches the combined USUM label for these fields.
g001-t12,1,12,route-1-grass-near-iki-western-path,vanilla_pool_match,verified,Duplicate raw instance of the pool for the fields near Iki Town and on the western path.
g001-t15,1,15,route-1-grass-near-iki-western-path,vanilla_pool_match,verified,Duplicate raw instance of the pool for the fields near Iki Town and on the western path.
g002-t01,2,1,route-1-grass-near-iki-western-path,vanilla_pool_match,verified,The separate raw Route 1 block contains another instance of the same uniquely labelled vanilla pool.
g002-t02,2,2,route-1-grass-near-iki-western-path,vanilla_pool_match,verified,The separate raw Route 1 block contains another instance of the same uniquely labelled vanilla pool.
g002-t03,2,3,route-1-grass-near-iki-western-path,vanilla_pool_match,verified,The separate raw Route 1 block contains another instance of the same uniquely labelled vanilla pool.
g001-t09,1,9,route-1-path-south-iki-behind-rocks,vanilla_pool_match,verified,The pinned vanilla level 11-14 pool uniquely matches the post-Tauros Route 1 area.
g001-t16,1,16,route-1-path-south-iki-behind-rocks,vanilla_pool_match,verified,Duplicate raw instance of the post-Tauros Route 1 pool.
g001-t17,1,17,route-1-path-south-iki-behind-rocks,vanilla_pool_match,verified,Duplicate raw instance of the post-Tauros Route 1 pool.
g001-t03,1,3,hauoli-outskirts-tall-grass,vanilla_pool_match,verified,The pinned vanilla pool and levels match Hau'oli Outskirts grass.
g001-t10,1,10,hauoli-outskirts-tall-grass,vanilla_pool_match,verified,Duplicate raw instance of the Hau'oli Outskirts grass pool.
g001-t11,1,11,hauoli-outskirts-surfing,vanilla_pool_match,verified,The pinned vanilla pool and levels match the documented Hau'oli Outskirts surfing pool.
g001-t04,1,4,melemele-sea-fishing,vanilla_pool_match,verified,The pinned vanilla pool and levels match documented regular fishing in Melemele Sea.
g001-t05,1,5,melemele-sea-fishing,vanilla_pool_match,verified,Duplicate raw fishing instance in the Melemele Sea block.
g001-t06,1,6,melemele-sea-fishing,vanilla_pool_match,verified,Duplicate raw fishing instance in the Melemele Sea block.
g001-t07,1,7,melemele-sea-fishing,vanilla_pool_match,verified,Duplicate raw fishing instance in the Melemele Sea block.
g001-t08,1,8,melemele-sea-bubbling-fishing-route-1-side,vanilla_pool_match,verified,The pinned vanilla level 10-22 pool matches the documented Route 1-side bubbling fishing spot.
g048-t01,48,1,trainers-school-tall-grass,vanilla_pool_match,verified,The pinned school pool and levels match the USUM walkthrough's tall-grass pool.
g048-t02,48,2,trainers-school-tall-grass,vanilla_pool_match,verified,Duplicate raw instance of the Trainers' School tall-grass pool.
g048-t03,48,3,trainers-school-tall-grass,vanilla_pool_match,verified,Duplicate raw instance of the Trainers' School tall-grass pool.
g048-t04,48,4,trainers-school-tall-grass,vanilla_pool_match,verified,Duplicate raw instance of the Trainers' School tall-grass pool.
g005-t01,5,1,route-3-two-fields-north-bridge,vanilla_pool_match,verified,The pinned vanilla pool matches the documented USUM fields north of the bridge.
g005-t10,5,10,route-3-two-fields-north-bridge,vanilla_pool_match,verified,Second raw instance matching the documented two fields north of the bridge.
g005-t14,5,14,route-3-field-south-bridge,vanilla_pool_match,verified,The one-percent Bagon vanilla pool uniquely matches the field south of the bridge and its Salamence SOS chain.
g005-t03,5,3,route-3-ambush-encounters,vanilla_pool_match,verified,The Spearow and Rufflet vanilla pool matches documented Route 3 flying-shadow ambushes.
g005-t11,5,11,route-3-ambush-encounters,vanilla_pool_match,verified,Duplicate raw instance of the Route 3 flying-shadow ambush pool.
g005-t12,5,12,route-3-ambush-encounters,vanilla_pool_match,verified,Duplicate raw instance of the Route 3 flying-shadow ambush pool.
g005-t13,5,13,route-3-ambush-encounters,vanilla_pool_match,verified,Duplicate raw instance of the Route 3 flying-shadow ambush pool.
g005-t04,5,4,route-3-berry-pile,vanilla_pool_match,verified,The Crabrawler-only vanilla pool matches the documented berry pile by the Route 3 Berry tree.
g005-t02,5,2,kalae-bay-tall-grass,vanilla_pool_match,verified,The pinned vanilla pool and levels uniquely match Kala'e Bay grass.
g005-t05,5,5,kalae-bay-fishing,vanilla_pool_match,verified,The pinned vanilla pool and levels match regular fishing in Kala'e Bay.
g005-t06,5,6,kalae-bay-fishing,vanilla_pool_match,verified,Duplicate raw fishing instance in Kala'e Bay.
g005-t07,5,7,kalae-bay-fishing,vanilla_pool_match,verified,Duplicate raw fishing instance in Kala'e Bay.
g005-t08,5,8,kalae-bay-fishing,vanilla_pool_match,verified,Duplicate raw fishing instance in Kala'e Bay.
g005-t09,5,9,kalae-bay-bubbling-fishing,vanilla_pool_match,verified,The pinned vanilla level 10-22 pool matches Kala'e Bay bubbling fishing.
g005-t15,5,15,kalae-bay-surfing,vanilla_pool_match,verified,The pinned vanilla pool and levels match documented Kala'e Bay surfing.
